Country Name,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
Nicaragua,"Trained teachers in lower secondary education, female (% of female teachers)",SE.SEC.TCAQ.LO.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0100212097168,49.1111106872559,49.1115112304688,,,49.2521781921387,56.4866485595703,56.9677391052246,60.807201385498,63.2243881225586,,,,,,,,,,,,,,,,,
Nicaragua,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,95.90504,,,,,97.71095,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,"School enrollment, secondary (% net)",SE.SEC.NENR,,11.80614,,,,,,,,,19.91828,,,19.09523,17.72496,16.74021,18.05797,20.11334,,20.90677,,,,,,,,,,,34.65554,36.46335,38.66694,,41.63398,43.93625,45.4727,,,,48.4211,,,,,,,,,,,,,,,
Nicaragua,"Secondary education, vocational pupils (% female)",SE.SEC.ENRL.VO.FE.ZS,49.91933,52.85645,48.7545,50.1212,47.81425,57.0749,,44.34946,47.13212,,58.93554,,60.80603,61.65865,63.78303,76.08978,71.21676,66.02041,64.38251,61.48453,,,,,,,,,,56.33803,56.306,57.20461,56.10117,,54.17536,54.81399,54.12156,54.56603,55.33594,,59.68023,,,,,,,,,,,,,,,
Nicaragua,"Pupil-teacher ratio, lower secondary",SE.SEC.ENRL.LO.TC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.99804,31.99944,33.30846,36.33456,,33.08016,34.75369,33.24131,32.34616,29.99766,,29.33434,,,,,,,,,,,,,,,
Nicaragua,"Secondary education, pupils",SE.SEC.ENRL,51383,54690,61084,63177,71044,80202,89823,105429,98874,110726,139743,,136629,157076,143162,128499,137333,154190,159015,161212,184101,221237,228360,238399,249091,265515,,,287217,321493,333210,353724,382951,,416405,437853,448258,470520,462198,,465201,,,,,,,,,,,,437761,463660,,
Nicaragua,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.UP.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3199996948242,,,,18.75,,,,22.1100006103516,,,26.6648597717285,,28.5499992370605,,,,,,,53.4299011230469,,,,
Nicaragua,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4200000762939,,,,25.7700004577637,,,,29.1000003814697,,,33.5620613098145,,35.4700012207031,,,,,,,61.7955513000488,,,,
Nicaragua,"Lower secondary completion rate, male (% of relevant age group)",SE.SEC.CMPT.LO.MA.ZS,,,,,,,,,,,,,,,,,,14.9638500213623,17.138599395752,,,,,24.7066993713379,26.3028793334961,28.2452201843262,,,,38.8143501281738,40.5156288146973,41.3979682922363,44.6842613220215,,48.8478813171387,53.0568199157715,52.4116516113281,54.7945594787598,51.0052108764648,,56.3267593383789,,,,,,,,,,,,,,,
Nicaragua,"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS,,45.3415298461914,,45.9676704406738,,,,,,,37.987548828125,,39.1755104064941,38.8628082275391,39.9292411804199,37.2385101318359,38.3772315979004,36.6038589477539,36.4871482849121,37.6468200683594,34.2528495788574,31.0789604187012,27.9272899627686,26.8828601837158,25.8873195648193,27.9970703125,,,,19.6827507019043,17.1679706573486,13.6780700683594,6.94141006469727,,4.2606201171875,3.4676399230957,6.96542978286743,7.49055004119873,6.62016010284424,,7.84656000137329,,,,,,,,,,,,,9.90565013885498,,
Nicaragua,"Children out of school, primary",SE.PRM.UNER,193379,190679,200247,203619,211501,210100,211833,223427,241358,,210906,,233297,237774,254009,234528,248640,243336,245965,261247,246551,229897,206624,203327,199595,218156,229571,,,162880,142300,115072,62479,,42126,37327,62236,65442,58228,,64830,,,,,,,,,,,,,81007,,
Nicaragua,"Primary education, teachers (% female)",SE.PRM.TCHR.FE.ZS,79.0974502563477,81.0753784179688,79.9852600097656,80.111198425293,81.3868637084961,,,,83.5069122314453,,78.0222320556641,,79.0712509155273,78.3743209838867,79.3549575805664,74.6503067016602,83.9874420166016,86.326286315918,88.7083206176758,87.3092880249023,86.9046401977539,86.3295135498047,,84.206298828125,83.6565475463867,83.5007019042969,,82.9825286865234,83.1299591064453,83.2422103881836,82.3862228393555,82.3922500610352,81.6136703491211,78.5270767211914,78.5270767211914,78.4717483520508,73.5459213256836,75.6797485351562,76.2589263916016,,77.0207138061523,,,,,,,,,,,,77.5759582519531,77.8873672485352,,
Nicaragua,"Trained teachers in primary education, female (% of female teachers)",SE.PRM.TCAQ.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.9024429321289,82.3962631225586,76.9993286132812,76.9815216064453,79.0226135253906,,80.5141296386719,82.208137512207,78.7470169067383,75.7827377319336,77.4048385620117,,78.9688262939453,,,,,,,,,,,,72.6607284545898,63.367618560791,,
Nicaragua,"Persistence to last grade of primary, total (% of cohort)",SE.PRM.PRSL.ZS,29.8000793457031,23.0486507415771,28.245059967041,23.3656997680664,,,28.7261791229248,26.000509262085,22.3220596313477,37.6925392150879,,,36.512809753418,22.4671192169189,33.6207389831543,19.6495094299316,34.9060287475586,35.5423583984375,28.9321308135986,40.900318145752,43.8697319030762,40.2114105224609,51.2128410339355,52.7344207763672,40.5702514648438,,,,,45.9091300964355,51.8096199035645,63.8804817199707,51.7612686157227,54.8619918823242,50.8025512695312,50.2042808532715,43.8540115356445,48.4092712402344,,,,,,,,,,,,,,,,,,
Nicaragua,"Persistence to grade 5, male (% of cohort)",SE.PRM.PRS5.MA.ZS,30.6922798156738,26.0961093902588,30.6173496246338,,,,30.7998905181885,27.2216205596924,27.4343700408936,39.9745407104492,,,40.3827781677246,31.0304298400879,38.4991912841797,25.7302494049072,36.5566787719727,33.4646301269531,,,,,51.2471389770508,51.9518699645996,42.629508972168,,,,,44.3422393798828,50.5147590637207,62.5077514648438,51.7713012695312,55.3570213317871,50.9626808166504,50.3467597961426,43.4205894470215,47.939338684082,,,,,,,,,,,,,,,,,,
Nicaragua,"Over-age students, primary, male (% of male enrollment)",SE.PRM.OENR.MA.ZS,,19.29496,,19.7972,,,,,,,20.43764,,20.3769,21.24883,18.97753,16.58584,15.54923,14.67426,14.80225,14.29208,14.18762,14.71928,14.38758,16.05187,17.08034,17.02852,,,,14.29156,12.11409,11.7126,12.22014,,12.86585,12.79438,22.88649,22.68095,21.79553,,21.78637,,,,,,,,,,,,,,,
Nicaragua,"Net intake rate in grade 1, female (% of official school-age population)",SE.PRM.NINT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.46635,41.41621,40.50923,42.07031,,39.59755,40.71435,71.9025,75.03741,69.29732,,67.02591,,,,,,,,,,,,,,,
Nicaragua,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,121.85992,124.83522,120.53071,123.84939,121.27798,,,116.39556,112.27071,155.43925,148.27348,,149.98149,124.01651,131.87892,115.16862,130.68716,127.13428,125.93488,118.84455,123.12421,126.50678,127.80493,117.24846,119.98599,121.27332,,,,148.39207,149.38885,151.77245,155.60429,149.00138,151.47336,156.26076,176.05185,172.84376,157.20846,,143.06325,,,,,,,,,,,,,,,
